Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
honor,3340,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,8999,1080,2160,16,16
blackberry,3000,6,Yes,4,4,32,android,Yes,Yes,Yes,1,Yes,Yes,16999,1440,2560,21,8
xiaomi,4000,6,Yes,8,6,64,android,Yes,Yes,Yes,2,Yes,Yes,19282,1080,2340,48,20
motorola,2800,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,6990,720,1280,8,5
asus,3000,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,14999,1080,1920,16,8
ziox,2500,5,No,4,1,8,android,Yes,Yes,Yes,1,Yes,Yes,3499,480,854,5,5
gionee,3150,6,Yes,8,3,16,android,Yes,Yes,Yes,2,Yes,Yes,6490,720,1280,13,5
oppo,4230,6,Yes,8,2,32,android,Yes,Yes,Yes,2,Yes,Yes,7935,1520,720,13,8
celkon,2000,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,3999,480,854,5,3
vivo,3260,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,9790,720,1520,13,5
panasonic,2400,4,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,No,3590,480,800,5,2
micromax,2000,5,Yes,4,3,16,android,No,No,No,2,Yes,Yes,4595,720,1280,8,2
lg,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,1,No,No,8875,1080,2160,13,8
motorola,2800,5,Yes,8,2,16,android,Yes,Yes,Yes,2,Yes,Yes,5450,1080,1920,13,5
coolpad,3000,6,Yes,8,3,16,android,Yes,Yes,Yes,2,Yes,Yes,6249,1080,1920,13,5
motorola,3000,5,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,12500,1080,1920,12,16
gionee,5000,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,4400,720,1280,8,5
samsung,3500,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,15499,720,1440,16,16
panasonic,4000,5,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,5430,720,1280,8,5
onida,2300,5,No,1,1,8,android,Yes,Yes,Yes,2,Yes,Yes,5385,720,1280,8,5
xiaomi,4000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8699,1080,2160,12,5
swipe,2500,4,Yes,4,0,4,android,Yes,No,Yes,2,Yes,Yes,2499,480,854,5,2
intex,2300,5,Yes,2,1,8,android,Yes,Yes,Yes,2,Yes,No,4690,480,854,2,0
xolo,2000,5,Yes,4,1,4,android,Yes,Yes,Yes,1,Yes,No,14153,720,1280,8,2
motorola,3000,6,Yes,8,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8500,1080,1920,13,8
zopo,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,12000,720,1280,13,5
panasonic,2400,4,Yes,4,0,8,android,Yes,Yes,No,2,Yes,No,2190,800,480,2,0
samsung,2600,5,Yes,4,1,8,android,Yes,Yes,Yes,2,Yes,Yes,15999,720,1280,8,1
tecno,3050,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,7142,720,1280,8,8
lenovo,3000,6,Yes,8,3,32,android,Yes,Yes,No,1,No,No,5899,720,1440,13,13
micromax,4000,5,Yes,4,2,16,android,Yes,Yes,No,2,No,Yes,5499,720,1280,8,5
infinix,4000,6,Yes,4,3,32,android,Yes,Yes,Yes,2,Yes,Yes,8999,720,1440,13,5
samsung,1860,5,Yes,8,2,32,android,Yes,Yes,Yes,1,Yes,Yes,9999,720,1280,12,2
nubia,3630,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,12990,1080,1920,13,16
nokia,4000,6,Yes,4,2,32,android,Yes,Yes,No,2,Yes,Yes,7149,720,1520,13,5
huawei,3000,6,Yes,8,4,64,android,Yes,Yes,Yes,2,Yes,Yes,12800,1080,2280,16,24
lava,2500,5,Yes,4,3,16,android,Yes,Yes,Yes,2,Yes,Yes,4725,720,1280,8,5
10.or,3200,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,4999,720,1440,13,5
karbonn,3300,6,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,5899,720,1280,8,5
lava,4000,5,Yes,4,2,8,android,Yes,Yes,Yes,2,Yes,No,8700,480,854,8,2
nuu mobile,2000,5,Yes,4,2,32,android,Yes,Yes,Yes,2,Yes,Yes,3999,720,1280,8,5
zte,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,1,Yes,Yes,3840,720,1280,8,8
intex,2000,5,Yes,1,1,8,android,No,Yes,Yes,2,No,No,4532,480,854,5,2
vivo,2500,5,Yes,4,2,16,android,Yes,Yes,Yes,2,Yes,Yes,7706,540,960,8,5
