Brand,Battery_capacity(mAh),Screen_size(inches),Processor,RAM(GB),Internal_storage(GB),Operating system,Number of SIMs,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
samsung,3000,5,8,3,32,android,2,18999,1080.0,1920.0,16,16
coolpad,2500,6,8,3,32,android,2,8990,720.0,1080.0,13,5
oppo,2900,5,8,3,32,android,2,12000,720.0,1280.0,13,16
vivo,3000,6,8,4,32,android,2,16541,720.0,1280.0,13,20
asus,4100,6,8,2,32,android,2,8599,1080.0,1920.0,16,8
lyf,3200,6,8,3,32,android,2,6499,1080.0,1920.0,16,8
infocus,3000,6,10,3,32,android,2,10999,1080.0,1920.0,16,8
honor,3340,6,8,3,32,android,2,13999,1080.0,1920.0,12,8
intex,3200,5,1,3,16,android,2,5499,720.0,1280.0,13,5
lenovo,5100,6,8,3,32,android,2,16999,1080.0,1920.0,13,5
lenovo,4000,6,8,3,32,android,2,8890,1080.0,1920.0,16,8
gionee,3150,6,8,3,32,android,2,12000,1080.0,1920.0,13,8
coolpad,4000,6,8,3,32,android,2,12639,1080.0,1920.0,13,8
oppo,3075,6,8,3,32,android,2,15990,720.0,1280.0,13,16
blackberry,2610,5,8,3,16,android,1,11999,1080.0,1920.0,13,8
asus,3000,6,8,4,32,android,2,5499,1080.0,1920.0,13,8
lenovo,4050,6,8,3,32,android,1,9999,1080.0,1920.0,13,8
yu,4000,6,8,4,32,android,2,4999,1080.0,1920.0,13,5
coolpad,3000,6,8,3,16,android,2,6249,1080.0,1920.0,13,5
leeco,3000,6,8,3,32,android,2,7990,1080.0,1920.0,13,5
vivo,3000,6,8,4,32,android,2,17979,1080.0,1920.0,13,8
oppo,2850,6,8,4,64,android,2,17990,1080.0,1920.0,13,16
infocus,2500,5,4,3,16,android,2,9990,720.0,1280.0,8,8
lenovo,2750,5,8,2,16,android,2,5999,720.0,1280.0,13,5
lenovo,2750,5,8,2,16,android,2,7999,1080.0,1920.0,13,5
xolo,4000,5,4,2,8,android,2,4999,720.0,1280.0,8,5
lg,2300,5,4,2,16,android,1,7990,720.0,1280.0,13,8
coolpad,2500,5,4,3,16,android,2,4999,720.0,1280.0,13,5
lenovo,3300,6,8,3,16,android,2,8990,1080.0,1920.0,13,5
gionee,5020,6,8,3,64,android,2,23900,1080.0,1920.0,13,5
yu,3000,5,8,4,32,cyanogen,2,29999,1440.0,2560.0,21,8
infocus,2600,6,8,2,16,android,2,4990,1080.0,1920.0,13,13
gionee,4000,5,4,3,32,android,2,7499,720.0,1280.0,8,5
gionee,3150,6,8,3,32,android,2,15998,720.0,1280.0,13,5
motorola,2470,5,8,2,16,android,2,16999,720.0,1280.0,13,5
honor,3000,6,8,2,16,android,2,7400,1080.0,1920.0,13,5
coolpad,3000,6,8,3,16,android,2,9499,720.0,1280.0,13,5
htc,2600,6,8,2,16,android,2,6999,720.0,1280.0,13,4
yu,2000,5,4,1,8,android,2,4695,720.0,1280.0,8,2
