Brand,Battery capacity,Screen size,Resolution,Processor,RAM,Internal storage,Camera,Operating system,Number of SIMs,Price
Coolpad,4060 mAh,6 inch,1080 x 1920 px,8,6000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,2,8999
OnePlus,3300 mAh,6 inch,1080 x 1920 px,8,6000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,17499
Honor,4000 mAh,6 inch,1440 x 2560 px,8,6000 mb,128 GB,12 MP Rear +  8 MP Front Camera,Android,2,17586
Micromax,3200 mAh,6 inch,1080 x 1920 px,8,4000 mb,128 GB,13 MP Rear +  13 MP Front Camera,Android,2,13999
Oppo,4000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,13990
Sony,3230 mAh,6 inch,2160 x 3840 px,8,4000 mb,64 GB,19 MP Rear +  13 MP Front Camera,Android,2,33500
Motorola,3000 mAh,5 inch,1080 x 1920 px,8,3000 mb,16 GB,12 MP Rear +  5 MP Front Camera,Android,2,10900
Asus,5000 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,14999
Samsung,3300 mAh,6 inch,1080 x 1920 px,1,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,16999
HTC,2500 mAh,5 inch,1080 x 1920 px,8,4000 mb,64 GB,16 MP Rear +  16 MP Front Camera,Android,2,15500
HTC,3000 mAh,6 inch,1440 x 2560 px,4,4000 mb,64 GB,12 MP Rear +  16 MP Front Camera,Android,2,54665
Asus,3300 mAh,6 inch,1440 x 2560 px,4,8000 mb,128 GB,23 MP Rear +  8 MP Front Camera,Android,2,49999
Xiaomi,3120 mAh,5 inch,720 x 1280 px,4,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,6999
Xiaomi,4100 mAh,5 inch,720 x 1280 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,8999
Nubia,3000 mAh,5 inch,1080 x 1920 px,8,4000 mb,64 GB,23 MP Rear +  13 MP Front Camera,Android,2,16999
Lenovo,3500 mAh,5 inch,1080 x 1920 px,4,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,11499
LG,3200 mAh,6 inch,1440 x 2560 px,4,4000 mb,64 GB,16 MP Rear +  5 MP Front Camera,Android,2,26999
Lenovo,4000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,8500
Sony,2900 mAh,5 inch,1080 x 1920 px,4,3000 mb,64 GB,23 MP Rear +  13 MP Front Camera,Android,2,11999
Samsung,3300 mAh,6 inch,1080 x 1920 px,8,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,15995
Motorola,3510 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,8990
Xiaomi,4100 mAh,6 inch,1080 x 1920 px,8,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,9990
Xiaomi,4100 mAh,5 inch,720 x 1280 px,8,3000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,8000
Motorola,2600 mAh,6 inch,1440 x 2560 px,4,4000 mb,64 GB,13 MP Rear +  5 MP Front Camera,Android,2,11999
Asus,3000 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,16 MP Rear +  8 MP Front Camera,Android,2,14999
Smartron,3000 mAh,6 inch,1080 x 1920 px,8,4000 mb,32 GB,13 MP Rear +  4 MP Front Camera,Android,2,5490
Motorola,3000 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,16 MP Rear +  5 MP Front Camera,Android,2,5999
Coolpad,2800 mAh,6 inch,1080 x 1920 px,8,4000 mb,64 GB,13 MP Rear +  5 MP Front Camera,Android,2,8499
Xiaomi,4850 mAh,6 inch,1080 x 1920 px,6,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,2,11990
Lenovo,4100 mAh,6 inch,1080 x 1920 px,4,3000 mb,64 GB,13 MP Rear +  8 MP Front Camera,Android,2,7499
LeEco,3000 mAh,6 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,6999
LeEco,3100 mAh,6 inch,1440 x 2560 px,4,,32 GB,21 MP Rear +  8 MP Front Camera,Android,2,7790
Huawei,3000 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,12 MP Rear +  8 MP Front Camera,Android,1,39999
Apple,1624 mAh,4 inch,640 x 1136 px,1,2000 mb,16 GB,12 MP Rear +  1.2 MP Front Camera,iOS,1,16999
LG,2800 mAh,5 inch,1440 x 2560 px,4,4000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,10999
Oppo,2500 mAh,5 inch,720 x 1280 px,8,3000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,8999
Samsung,2900 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,19990
Xiaomi,4050 mAh,6 inch,1080 x 1920 px,6,2000 mb,16 GB,16 MP Rear +  5 MP Front Camera,Android,2,6899
HTC,2150 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  4 MP Front Camera,Android,1,30149
BlackBerry,3410 mAh,5 inch,1440 x 2560 px,6,3000 mb,32 GB,18 MP Rear +  2 MP Front Camera,Android,1,19999
LG,2700 mAh,5 inch,1080 x 1920 px,6,2000 mb,16 GB,12.3 MP Rear +  5 MP Front Camera,Android,1,25990
Apple,1715 mAh,5 inch,750 x 1334 px,2,2000 mb,16 GB,12 MP Rear +  5 MP Front Camera,iOS,1,22999
Lenovo,4900 mAh,6 inch,1080 x 1920 px,8,2000 mb,32 GB,13 MP Rear +  5 MP Front Camera,Android,2,15999
Lenovo,2420 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,13 MP Rear +  8 MP Front Camera,Android,2,10990
Samsung,3000 mAh,6 inch,1440 x 2560 px,8,4000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,1,17999
Samsung,3000 mAh,6 inch,1440 x 2560 px,8,4000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,1,14999
Motorola,3630 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,21 MP Rear +  5 MP Front Camera,Android,2,7990
Motorola,2470 mAh,5 inch,720 x 1280 px,4,1000 mb,8 GB,13 MP Rear +  5 MP Front Camera,Android,2,10999
Honor,3100 mAh,5 inch,1080 x 1920 px,8,3000 mb,16 GB,20 MP Rear +  8 MP Front Camera,Android,1,15999
Asus,3000 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  13 MP Front Camera,Android,2,14999
LG,3000 mAh,6 inch,1440 x 2560 px,6,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,1,13299
Xiaomi,3120 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,12999
Lenovo,2900 mAh,6 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  5 MP Front Camera,Android,2,9999
Motorola,3900 mAh,5 inch,1440 x 2560 px,4,3000 mb,64 GB,21 MP Rear +  2 MP Front Camera,Android,1,31999
Gionee,2700 mAh,5 inch,1080 x 1920 px,8,2000 mb,16 GB,13 MP Rear +  8 MP Front Camera,Android,2,15999
Lenovo,2900 mAh,5 inch,1080 x 1920 px,8,3000 mb,32 GB,16 MP Rear +  8 MP Front Camera,Android,2,9799
Samsung,2600 mAh,5 inch,1440 x 2560 px,8,3000 mb,32 GB,16 MP Rear +  5 MP Front Camera,Android,1,25999
