Brand,Battery_capacity(mAh),Screen_size(inches),Touchscreen,Processor,RAM(GB),Internal_storage(GB),Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,Resolution_width(px),Resolution_height(px),Rear_Camera(MP),Front_Camera(MP)
Lenovo,4900,6,Yes,8,2,32,Android,Yes,Yes,Yes,2,Yes,Yes,15999,1080,1920,13,5
Lenovo,2420,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,10990,1080,1920,13,8
Samsung,3000,6,Yes,8,4,32,Android,Yes,Yes,Yes,1,Yes,Yes,17999,1440,2560,16,5
Samsung,3000,6,Yes,8,4,32,Android,Yes,Yes,Yes,1,Yes,Yes,14999,1440,2560,16,5
Motorola,3630,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,7990,1080,1920,21,5
Motorola,2470,5,Yes,4,1,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999,720,1280,13,5
Honor,3100,5,Yes,8,3,16,Android,Yes,Yes,Yes,1,Yes,Yes,15999,1080,1920,20,8
Asus,3000,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999,1080,1920,13,13
LG,3000,6,Yes,6,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,13299,1440,2560,16,8
Xiaomi,3120,5,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,12999,1080,1920,13,5
Lenovo,2900,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,9999,1080,1920,13,5
Motorola,3900,5,Yes,4,3,64,Android,Yes,Yes,Yes,1,Yes,Yes,31999,1440,2560,21,2
Gionee,2700,5,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,15999,1080,1920,13,8
Lenovo,2900,5,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,9799,1080,1920,16,8
Samsung,2600,5,Yes,8,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,25999,1440,2560,16,5
Honor,3600,6,Yes,8,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,26499,1080,1920,8,8
HTC,2600,6,Yes,8,2,16,Android,Yes,Yes,Yes,2,Yes,Yes,25500,720,1280,13,8
HTC,2600,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,28500,1080,1920,13,5
Motorola,3220,6,Yes,4,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,13490,1440,2560,13,2
HTC,2400,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,10990,1080,1920,13,13
BlackBerry,3450,5,Yes,4,3,32,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,15999,1440,1440,13,2
Apple,2915,6,Yes,1,1,16,iOS,Yes,Yes,Yes,1,Yes,Yes,23999,1080,1920,8,1
Apple,1810,5,Yes,2,1,16,iOS,Yes,Yes,Yes,1,Yes,Yes,15999,750,1334,8,1
Motorola,2300,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,23999,1080,1920,13,2
Motorola,2070,5,Yes,4,1,16,Android,Yes,Yes,Yes,2,Yes,No,13500,720,1280,8,2
Sony,2600,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,38990,720,1280,20,2
Samsung,3220,6,Yes,4,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,27900,1440,2560,16,3
Samsung,3000,6,Yes,4,3,32,Android,Yes,Yes,Yes,1,Yes,Yes,29950,1600,2560,16,3
Xiaomi,3080,5,Yes,4,3,16,Android,Yes,Yes,Yes,1,Yes,No,7987,1080,1920,13,8
Lenovo,4000,6,Yes,4,3,32,Android,Yes,Yes,Yes,2,Yes,Yes,29999,1440,2560,16,5
OnePlus,3100,6,Yes,4,3,16,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,21999,1080,1920,13,5
Samsung,2800,5,Yes,8,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,33999,1080,1920,16,2
Sony,3200,5,Yes,4,3,16,Android,Yes,Yes,Yes,1,Yes,Yes,35990,1080,1920,20,2
Sony,2300,4,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,11999,720,1280,20,2
Gionee,2500,6,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,3699,1080,1920,16,8
Samsung,2600,5,Yes,4,1,8,Android,Yes,Yes,Yes,2,Yes,Yes,15999,720,1280,8,1
Motorola,2070,5,Yes,4,1,8,Android,Yes,Yes,Yes,2,Yes,No,9999,720,1280,5,1
LG,2300,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,Yes,12000,1080,1920,8,1
Nokia,3400,6,Yes,4,2,32,Windows,Yes,Yes,Yes,1,Yes,Yes,34990,1080,1920,20,1
Apple,1507,4,Yes,2,1,8,iOS,Yes,Yes,Yes,1,Yes,Yes,8499,640,1136,8,1
Xiaomi,3050,5,Yes,4,2,16,Android,Yes,Yes,Yes,1,Yes,No,13999,1080,1920,13,2
